Category,ID,Latitude,Longitude,Date,MODIS_Tile,Line_Y_500m,Sample_X_500m,LE_500m,ET_QC_500m,ET_QC_500m_bitmask,ET_QC_500m_MODLAND,ET_QC_500m_MODLAND_Description,ET_QC_500m_Sensor,ET_QC_500m_Sensor_Description,ET_QC_500m_DeadDetector,ET_QC_500m_DeadDetector_Description,ET_QC_500m_CloudState,ET_QC_500m_CloudState_Description,ET_QC_500m_SCF_QC,ET_QC_500m_SCF_QC_Description
,Ne2,41.16487,-96.4701,2011-04-23,h10v04,2120.0,1770.0,32765.0,18.0,0b00010010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present on pixel,0b000,"Main (RT) method used, best result possible (no saturation)"
,Ne2,41.16487,-96.4701,2011-05-01,h10v04,2120.0,1770.0,1680000.0,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
,Ne2,41.16487,-96.4701,2011-05-01,h10v04,2120.0,1770.0,32765.0,18.0,0b00010010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present on pixel,0b000,"Main (RT) method used, best result possible (no saturation)"
,Ne2,41.16487,-96.4701,2011-05-09,h10v04,2120.0,1770.0,3030000.0,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
,Ne2,41.16487,-96.4701,2011-05-09,h10v04,2120.0,1770.0,3040000.0,2.0,0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
,Ne2,41.16487,-96.4701,2011-05-17,h10v04,2120.0,1770.0,32765.0,8.0,0b00001000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
,Ne2,41.16487,-96.4701,2011-05-17,h10v04,2120.0,1770.0,3420000.0,2.0,0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
,Ne2,41.16487,-96.4701,2011-05-25,h10v04,2120.0,1770.0,3080000.0,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
,Ne2,41.16487,-96.4701,2011-05-25,h10v04,2120.0,1770.0,32765.0,18.0,0b00010010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present on pixel,0b000,"Main (RT) method used, best result possible (no saturation)"
,Ne2,41.16487,-96.4701,2011-06-02,h10v04,2120.0,1770.0,3460000.0,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
,Ne2,41.16487,-96.4701,2011-06-02,h10v04,2120.0,1770.0,3830000.0,2.0,0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
,Ne2,41.16487,-96.4701,2011-06-10,h10v04,2120.0,1770.0,32765.0,8.0,0b00001000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
,Ne2,41.16487,-96.4701,2011-06-10,h10v04,2120.0,1770.0,32765.0,10.0,0b00001010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
,Ne2,41.16487,-96.4701,2011-06-18,h10v04,2120.0,1770.0,32765.0,16.0,0b00010000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present on pixel,0b000,"Main (RT) method used, best result possible (no saturation)"
,Ne2,41.16487,-96.4701,2011-06-18,h10v04,2120.0,1770.0,32765.0,18.0,0b00010010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present on pixel,0b000,"Main (RT) method used, best result possible (no saturation)"
